transaction_id,payment_id,loan_id,borrower_id,transaction_date,posting_date,transaction_code,payment_type,payment_amount,payment_method,reversal_reason
TXN960439,PMT560439,SL101443,BOR201275,2022-05-20,2022-05-21,PMT,Payment,253.24,ACH Auto-Debit,
TXN905456,PMT505456,SL100131,BOR200765,2023-03-19,2023-03-21,PMT,Payment,97.4,Check,
TXN951965,PMT551965,SL101246,BOR202009,2025-12-20,2025-12-22,PMT,Payment,323.99,ACH Auto-Debit,
TXN987287,PMT587287,SL102112,BOR200791,2024-02-24,2024-02-26,PMT,Payment,160.7,Manual - Phone,
TXN921773,PMT521773,SL100537,BOR200728,2026-03-13,2026-03-15,pmt,Payment,173.25,Check,
TXN963732,PMT563732,SL101518,BOR200959,2026-03-25,2026-03-25,PMT,Payment,161.95,ACH Auto-Debit,
TXN951925,PMT551925,SL101243,BOR202223,2026-04-29,2026-04-30,PMT,Payment,88.59,ACH Auto-Debit,
TXN901016,PMT501016,SL100023,BOR200892,2024-06-24,2024-06-25,PMT,Payment,105.52,ACH Auto-Debit,
TXN961851,PMT561851,SL101476,BOR202067,2026-07-06,2026-07-08,PMT,Payment,115.76,Manual - Web,
TXN978995,PMT578995,SL101899,BOR201638,2026-08-28,2026-08-29,PMT,Payment,102.11,ACH Auto-Debit,
TXN937129,PMT537129,SL100896,BOR201463,2024-01-18,2024-01-18,PMT,Payment,200.16,ACH Auto-Debit,
TXN927634,PMT527634,SL100672,BOR201657,2024-04-19,2024-04-21,PMT,Payment,102.78,ACH Auto-Debit,
TXN985593,PMT585593,SL102071,BOR200521,2024-05-10,2024-05-11,PMT,Payment,102.42,ACH Auto-Debit,
TXN937214,PMT537214,SL100899,BOR200021,2026-01-22,2026-01-23,PMT,Payment,112.6,,
TXN929245,PMT529245,SL100712,BOR200018,2025-04-15,2025-04-15,PMT,Payment,25.0,Manual - Phone,
TXN921633,PMT521633,SL100534,BOR200484,2026-08-05,2026-08-05,PMT,Payment,110.74,ACH Auto-Debit,
TXN955223,PMT555223,SL101320,BOR200185,2024-03-20,2024-03-22,PMT,Payment,93.38,Manual - Phone,
TXN992366,PMT592366,SL102237,BOR200239,2026-01-26,2026-01-28,PMT,Payment,118.83,Manual - Web,
TXN938766,PMT538766,SL100938,BOR201804,2021-05-12,2021-05-14,PMT,Payment,110.04,Manual - Phone,
TXN991095,PMT591095,SL102205,BOR201228,2025-08-15,2025-08-16,PMT,Payment,124.77,Manual - Web,
TXN967389,PMT567389,SL101614,BOR200841,2023-02-19,2023-02-21,PMT,Payment,324.4,Manual - Phone,
TXN907008,PMT507008,SL100167,BOR200903,2026-07-17,2026-07-18,PMT,Payment,77.39,ACH Auto-Debit,
TXN935655,PMT535655,SL100858,BOR201278,2025-04-07,2025-04-07,PMT,Payment,119.46,Manual - Web,
TXN929397,PMT529396,SL100715,BOR200423,2024-03-10,2024-03-11,rev,Reversal,-178.71,ACH Auto-Debit,NSF - Insufficient Funds
TXN915916,PMT515916,SL100396,BOR201176,2024-06-23,2024-06-25,PMT,Payment,266.47,ACH Auto-Debit,
TXN951406,PMT551406,SL101234,BOR200184,2025-04-26,2025-04-28,PMT,Payment,67.79,Manual - Web,
TXN935820,PMT535820,SL100861,BOR200838,2024-09-30,2024-10-02,PMT,Payment,407.18,ACH Auto-Debit,
TXN989073,PMT589073,SL102157,BOR201809,2025-07-14,2025-07-16,PMT,Payment,219.2,Payroll Deduct,
TXN934366,PMT534366,SL100828,BOR201279,2024-09-07,2024-09-08,PMT,Payment,461.4,Manual - Web,
TXN996346,PMT596346,SL102333,BOR202251,2026-01-18,2026-01-18,PMT,Payment,98.44,ACH Auto-Debit,
TXN959226,PMT559226,SL101417,BOR202227,2021-09-22,2021-09-23,PMT,Payment,25.0,Manual - Web,
TXN958953,PMT558953,SL101410,BOR201042,2025-08-23,2025-08-23,PMT,Payment,193.49,ACH Auto-Debit,
TXN959690,PMT559690,SL101425,BOR200324,2025-07-08,2025-07-09,PMT,Payment,285.97,ACH Auto-Debit,
TXN1000352,PMT600352,SL102427,BOR201002,2026-01-06,2026-01-08,PMT,Payment,287.53,Check,
TXN918544,PMT518544,SL100459,BOR201510,2026-04-22,2026-04-24,PMT,Payment,126.69,Manual - Phone,
TXN993699,PMT593699,SL102266,BOR200308,2025-11-22,2025-11-22,PMT,Payment,112.81,Manual - Phone,
TXN999839,PMT599839,SL102414,BOR201096,2024-05-18,2024-05-19,PMT,Payment,99.31,ACH Auto-Debit,
TXN999574,PMT599574,SL102410,BOR201288,2023-06-07,2023-06-09,PMT,Payment,25.0,Payroll Deduct,
TXN988067,PMT588067,SL102132,BOR201688,2022-04-23,2022-04-23,PMT,Payment,60.44,ACH Auto-Debit,
TXN997783,PMT597783,SL102365,BOR201078,2025-08-16,2025-08-16,pmt,Payment,472.79,Manual - Web,
TXN965616,PMT565616,SL101567,BOR200432,2025-10-16,2025-10-18,PMT,Payment,$68.32,ACH Auto-Debit,
TXN923242,PMT523241,SL100571,BOR200727,2022-12-13,2022-12-15,REV,Reversal,-57.88,Manual - Phone,NSF - Insufficient Funds
TXN940533,PMT540533,SL100976,BOR202222,2026-05-11,2026-05-13,PMT,Payment,54.71,ACH Auto-Debit,
TXN932913,PMT532913,SL100794,BOR201418,2021-08-22,2021-08-24,PMT,Payment,125.31,ACH Auto-Debit,
TXN1000285,PMT600285,SL102426,BOR200669,2025-07-17,2025-07-18,PMT,Payment,124.98,ACH Auto-Debit,
TXN982102,PMT582102,SL101977,BOR201701,2025-01-18,2025-01-19,PMT,Payment,119.86,ACH Auto-Debit,
TXN919323,PMT519323,SL100479,BOR200692,2021-09-21,2021-09-21,PMT,Payment,311.18,Payroll Deduct,
TXN926990,PMT526990,SL100660,BOR200428,2024-07-31,2024-08-01,PMT,Payment,25.0,ACH Auto-Debit,
TXN954132,PMT554132,SL101294,BOR200783,2024-12-22,2024-12-23,PMT,Payment,142.55,Manual - Web,
TXN947171,PMT547171,SL101123,BOR201898,2024-12-24,2024-12-25,PMT,Payment,174.29,Manual - Phone,
TXN900546,PMT500546,SL100010,BOR201150,2026-08-26,2026-08-27,PMT,Payment,139.85,ACH Auto-Debit,
TXN955459,PMT555458,SL101325,BOR201836,2024-04-15,2024-04-15,REV,Reversal,-84.86,Manual - Web,Customer Dispute
TXN962895,PMT562895,SL101500,BOR201800,2025-08-21,2025-08-23,PMT,Payment,156.51,ACH Auto-Debit,
TXN999310,PMT599310,SL102405,BOR200585,2024-05-05,2024-05-05,PMT,Payment,25.0,Manual - Phone,
TXN945415,PMT545415,SL101087,BOR201373,2024-12-29,2024-12-30,PMT,Payment,157.52,Manual - Web,
TXN966460,PMT566460,SL101587,BOR201846,2024-04-22,2024-04-23,PMT,Payment,92.97,ACH Auto-Debit,
TXN927229,PMT527229,SL100664,BOR201214,2021-11-14,2021-11-14,PMT,Payment,268.36,Manual - Phone,
TXN924737,PMT524737,SL100606,BOR201629,2023-10-07,2023-10-08,PMT,Payment,454.54,Manual - Phone,
TXN926749,PMT526749,SL100656,BOR201768,2022-08-10,2022-08-12,PMT,Payment,25.0,ACH Auto-Debit,
TXN940964,PMT540964,SL100987,BOR202152,2025-08-14,2025-08-14,PMT,Payment,152.79,Manual - Phone,
TXN910433,PMT510433,SL100251,BOR200354,2026-08-22,2026-08-23,PMT,Payment,96.83,ACH Auto-Debit,
TXN908110,PMT508110,SL100198,BOR200983,2025-01-21,2025-01-21,PMT,Payment,201.45,ACH Auto-Debit,
TXN903685,PMT503685,SL100091,BOR202125,2021-08-09,2021-08-10,PMT,Payment,77.32,ACH Auto-Debit,
TXN913469,PMT513469,SL100327,BOR200548,2023-10-20,2023-10-22,PMT,Payment,132.56,Manual - Web,
TXN971169,PMT571169,SL101709,BOR201220,2023-03-17,2023-03-18,PMT,Payment,25.0,ACH Auto-Debit,
TXN918945,PMT518945,SL100470,BOR201106,2021-07-06,2021-07-06,PMT,Payment,139.64,ACH Auto-Debit,
TXN969263,PMT569263,SL101662,BOR202101,2022-10-28,2022-10-30,PMT,Payment,60.53,Manual - Phone,
TXN979682,PMT579682,SL101916,BOR201567,2024-11-30,2024-12-01,PMT,Payment,219.5,Manual - Phone,
TXN926986,PMT526986,SL100660,BOR200428,2024-03-23,2024-03-24,PMT,Payment,25.0,Manual - Web,
TXN959229,PMT559229,SL101417,BOR202227,2021-12-17,2021-12-18,PMT,Payment,25.0,Payroll Deduct,
TXN995633,PMT595633,SL102314,BOR200086,2025-04-08,2025-04-10,PMT,Payment,235.59,ACH Auto-Debit,
TXN983621,PMT583621,SL102015,BOR201762,2025-09-21,2025-09-23,PMT,Payment,171.73,Manual - Phone,
TXN1000323,PMT600323,SL102427,BOR201002,2023-11-18,2023-11-20,PMT,Payment,287.53,ACH Auto-Debit,
TXN981387,PMT581387,SL101955,BOR200562,2024-12-16,2024-12-16,PMT,Payment,78.83,Manual - Web,
TXN968074,PMT568074,SL101630,BOR200259,2025-07-24,2025-07-24,PMT,Payment,178.9,Manual - Phone,
TXN939812,PMT539812,SL100961,BOR202102,2024-10-07,2024-10-07,PMT,Payment,437.82,ACH Auto-Debit,
TXN953028,PMT553028,SL101271,BOR201348,2023-10-31,2023-11-02,PMT,Payment,138.34,,
TXN907753,PMT507753,SL100190,BOR200318,2024-03-20,2024-03-20,PMT,Payment,99.85,Manual - Phone,
TXN965526,PMT565526,SL101564,BOR200166,2026-08-12,2026-08-14,PMT,Payment,25.0,Manual - Web,
TXN976311,PMT576311,SL101833,BOR200082,2024-04-29,2024-05-01,PMT,Payment,132.82,Manual - Phone,
TXN928025,PMT528025,SL100682,BOR201258,2024-10-12,2024-10-12,PMT,Payment,53.31,Manual - Phone,
TXN975176,PMT575176,SL101807,BOR201820,2024-07-27,2024-07-28,PMT,Payment,61.3,Manual - Web,
TXN926352,PMT526352,SL100648,BOR201928,2022-12-18,2022-12-18,PMT,Payment,294.55,Manual - Phone,
TXN908681,PMT508681,SL100211,BOR201321,2022-02-09,2022-02-10,PMT,Payment,144.58,Manual - Web,
TXN914790,PMT514790,SL100364,BOR201619,2025-11-07,2025-11-08,PMT,Payment,187.84,Manual - Phone,
TXN920810,PMT520810,SL100510,BOR200802,2024-04-07,2024-04-09,PMT,Payment,385.29,ACH Auto-Debit,
TXN904254,PMT504254,SL100102,BOR201238,2026-06-23,2026-06-23,PMT,Payment,297.62,Manual - Web,
TXN926078,PMT526078,SL100643,BOR200865,2021-03-25,2021-03-27,PMT,Payment,416.73,Manual - Phone,
TXN964858,PMT564857,SL101546,BOR201994,2026-03-20,2026-03-21,REV,Reversal,-329.95,Manual - Phone,NSF - Insufficient Funds
TXN930277,PMT530277,SL100735,BOR200715,2025-11-16,2025-11-17,PMT,Payment,563.06,ACH Auto-Debit,
TXN967461,PMT567461,SL101616,BOR200582,2022-02-20,2022-02-20,PMT,Payment,33.45,Manual - Phone,
TXN970858,PMT570858,SL101702,BOR200175,2021-09-21,2021-09-23,PMT,Payment,238.17,Manual - Phone,
TXN992416,PMT592416,SL102238,BOR200891,2024-06-13,2024-06-13,PMT,Payment,251.2,ACH Auto-Debit,
TXN900020,PMT500020,SL100000,BOR201767,2025-08-31,2025-08-31,PMT,Payment,175.78,ACH Auto-Debit,
TXN982837,PMT582837,SL101995,BOR200273,2025-07-12,2025-07-12,PMT,Payment,156.2,ACH Auto-Debit,
TXN995911,PMT595911,SL102321,BOR202119,2024-07-19,2024-07-21,PMT,Payment,123.59,ACH Auto-Debit,
TXN972596,PMT572596,SL101744,BOR201655,2022-12-26,2022-12-27,PMT,Payment,83.91,Manual - Web,
TXN997004,PMT597004,SL102346,BOR201259,2026-03-30,2026-03-30,PMT,Payment,98.85,Payroll Deduct,
TXN991855,PMT591855,SL102224,BOR200761,2024-03-31,2024-03-31,PMT,Payment,520.9,Manual - Phone,
TXN968458,PMT568458,SL101639,BOR202289,2025-09-25,2025-09-26,PMT,Payment,58.1,ACH Auto-Debit,
TXN970733,PMT570733,SL101699,BOR200832,2021-12-12,2021-12-14,pmt,Payment,205.56,Manual - Phone,
TXN914934,PMT514934,SL100368,BOR200702,2022-01-22,2022-01-24,PMT,Payment,159.27,Manual - Phone,
TXN915521,PMT515521,SL100384,BOR201268,2026-04-17,2026-04-19,PMT,Payment,175.83,ACH Auto-Debit,
TXN910831,PMT510831,SL100263,BOR200793,2025-07-28,2025-07-28,PMT,Payment,99.66,Payroll Deduct,
TXN913407,PMT513407,SL100326,BOR201030,2022-08-20,2022-08-21,PMT,Payment,25.0,ACH Auto-Debit,
TXN988602,PMT588602,SL102145,BOR201262,2026-05-12,2026-05-12,PMT,Payment,193.04,ACH Auto-Debit,
TXN908406,PMT508406,SL100206,BOR200479,2023-02-09,2023-02-11,PMT,Payment,172.95,ACH Auto-Debit,
TXN907277,PMT507277,SL100174,BOR200869,2023-01-14,2023-01-15,PMT,Payment,186.65,ACH Auto-Debit,
TXN905815,PMT505815,SL100138,BOR200532,2023-09-18,2023-09-18,PMT,Payment,66.45,Manual - Web,
TXN983583,PMT583583,SL102015,BOR201762,2022-03-12,2022-03-14,PMT,Payment,171.73,Manual - Phone,
TXN921401,PMT521401,SL100529,BOR201899,2025-03-16,2025-03-18,PMT,Payment,126.7,ACH Auto-Debit,
TXN994724,PMT594723,SL102292,BOR201667,2026-05-08,2026-05-08,REV,Reversal,-72.39,Manual - Phone,NSF - Insufficient Funds
TXN933401,PMT533401,SL100803,BOR201524,2021-09-16,2021-09-17,PMT,Payment,112.34,ACH Auto-Debit,
TXN962484,PMT562484,SL101491,BOR201180,2022-01-24,2022-01-26,PMT,Payment,68.91,Payroll Deduct,
TXN907021,PMT507021,SL100168,BOR201082,2025-11-05,2025-11-07,PMT,Payment,189.35,Manual - Phone,
TXN1000902,PMT600902,SL102442,BOR200326,2021-05-06,2021-05-06,PMT,Payment,25.0,ACH Auto-Debit,
TXN996493,PMT596493,SL102336,BOR200515,2025-09-09,2025-09-09,PMT,Payment,115.36,ACH Auto-Debit,
TXN944351,PMT544350,SL101065,BOR200194,2024-04-09,2024-04-10,REV,Reversal,-69.65,ACH Auto-Debit,NSF - Insufficient Funds
TXN903870,PMT503870,SL100095,BOR201797,2021-05-10,2021-05-12,PMT,Payment,105.17,Manual - Web,
TXN958367,ADJ858367,SL101395,BOR201707,2021-06-17,2021-06-17,ADJ,Adjustment,-65.99,,
TXN947770,PMT547770,SL101135,BOR200477,2025-09-20,2025-09-22,PMT,Payment,91.17,ACH Auto-Debit,
TXN971189,PMT571189,SL101709,BOR201220,2024-11-29,2024-11-29,PMT,Payment,136.31,,
TXN911818,PMT511818,SL100289,BOR200800,2024-09-27,2024-09-29,PMT,Payment,161.93,Manual - Phone,
TXN909472,PMT509472,SL100228,BOR200457,2021-10-28,2021-10-29,PMT,Payment,135.3,ACH Auto-Debit,
TXN982961,PMT582961,SL101999,BOR201878,2026-08-10,2026-08-11,PMT,Payment,125.54,Manual - Phone,
TXN906744,PMT506744,SL100158,BOR200919,2026-08-10,2026-08-12,PMT,Payment,138.08,ACH Auto-Debit,
TXN926077,PMT526077,SL100643,BOR200865,2021-02-27,2021-02-27,PMT,Payment,416.73,Manual - Web,
TXN936034,RFD636034,SL100866,BOR201242,2024-01-30,2024-01-30,REFUND,Refund,-118.68,ACH Auto-Debit,
TXN987122,PMT587122,SL102108,BOR201023,2024-10-14,2024-10-16,PMT,Payment,55.38,Manual - Web,
TXN933001,PMT533001,SL100795,BOR200618,2024-05-06,2024-05-06,PMT,Payment,82.0,ACH Auto-Debit,
TXN993463,PMT593463,SL102262,BOR200207,2025-03-31,2025-04-01,PMT,Payment,$170.76,Manual - Web,
TXN907597,PMT507597,SL100185,BOR200736,2024-03-16,2024-03-16,PMT,Payment,312.69,ACH Auto-Debit,
TXN903842,PMT503842,SL100094,BOR200770,2024-09-25,2024-09-27,PMT,Payment,48.35,ACH Auto-Debit,
TXN900444,PMT500444,SL100008,BOR201435,2024-10-10,2024-10-11,PMT,Payment,161.39,Manual - Phone,
TXN962974,PMT562974,SL101502,BOR201236,2023-07-22,2023-07-23,PMT,Payment,184.42,Manual - Web,
TXN947150,PMT547150,SL101123,BOR201898,2022-12-13,2022-12-14,PMT,Payment,174.29,ACH Auto-Debit,
TXN997622,PMT597622,SL102360,BOR201222,2026-01-07,2026-01-07,PMT,Payment,228.39,Manual - Web,
TXN916896,PMT516895,SL100421,BOR201151,2026-01-30,2026-01-31,REV,Reversal,-220.69,ACH Auto-Debit,NSF - Insufficient Funds
TXN990593,PMT590593,SL102192,BOR200281,2022-02-22,2022-02-22,PMT,Payment,135.99,ACH Auto-Debit,
TXN934303,PMT534303,SL100827,BOR202239,2024-09-12,2024-09-13,PMT,Payment,241.47,ACH Auto-Debit,
TXN930402,PMT530402,SL100737,BOR201791,2025-12-27,2025-12-29,PMT,Payment,113.33,Payroll Deduct,
TXN960748,PMT560748,SL101450,BOR201931,2024-05-06,2024-05-07,PMT,Payment,25.0,ACH Auto-Debit,
TXN921627,PMT521627,SL100534,BOR200484,2026-03-24,2026-03-24,PMT,Payment,110.74,Manual - Web,
TXN903480,PMT503480,SL100084,BOR201913,2025-08-13,2025-08-13,PMT,Payment,110.8,ACH Auto-Debit,
TXN926485,PMT526484,SL100651,BOR201063,2021-06-01,2021-06-02,REV,Reversal,-131.39,Payroll Deduct,Customer Dispute
TXN908022,PMT508022,SL100197,BOR202016,2022-06-14,2022-06-16,PMT,Payment,98.41,Manual - Web,
TXN995174,PMT595174,SL102303,BOR202309,2026-05-24,2026-05-24,PMT,Payment,190.04,Manual - Web,
TXN998606,PMT598606,SL102385,BOR200655,2025-09-09,2025-09-11,PMT,Payment,92.15,Manual - Web,
TXN958106,PMT558106,SL101389,BOR201986,2023-02-15,2023-02-17,PMT,Payment,91.75,ACH Auto-Debit,
TXN912192,PMT512192,SL100298,BOR200714,2023-03-19,2023-03-21,PMT,Payment,147.3,ACH Auto-Debit,
TXN905248,PMT505248,SL100126,BOR201816,2024-11-14,2024-11-14,PMT,Payment,143.72,Payroll Deduct,
TXN944558,PMT544558,SL101070,BOR200847,2024-05-12,2024-05-13,PMT,Payment,166.08,ACH Auto-Debit,
TXN961796,PMT561796,SL101475,BOR201644,2026-08-21,2026-08-22,PMT,Payment,355.92,ACH Auto-Debit,
TXN915663,PMT515663,SL100389,BOR201898,2025-10-11,2025-10-13,PMT,Payment,187.81,Manual - Web,
TXN903414,PMT503414,SL100083,BOR200437,2024-11-17,2024-11-17,PMT,Payment,69.6,Manual - Web,
TXN968181,PMT568181,SL101633,BOR200028,2025-02-08,2025-02-10,PMT,Payment,25.0,ACH Auto-Debit,
TXN925062,PMT525062,SL100617,BOR202084,2021-12-17,2021-12-17,PMT,Payment,190.64,ACH Auto-Debit,
TXN909698,PMT509698,SL100233,BOR201749,2022-05-26,2022-05-26,PMT,Payment,253.03,Manual - Web,
TXN916871,PMT516871,SL100421,BOR201151,2024-02-26,2024-02-26,PMT,Payment,220.69,ACH Auto-Debit,
TXN946404,PMT546404,SL101107,BOR201757,2022-06-10,2022-06-10,PMT,Payment,255.0,Manual - Phone,
TXN1002620,PMT602620,SL102487,BOR200122,2026-07-13,2026-07-14,PMT,Payment,171.89,Manual - Web,
TXN975361,PMT575361,SL101810,BOR201243,2025-08-24,2025-08-25,PMT,Payment,129.02,Manual - Web,
TXN901541,PMT501541,SL100036,BOR200518,2025-06-08,2025-06-10,PMT,Payment,120.01,Manual - Phone,
TXN998729,PMT598729,SL102391,BOR202087,2022-11-04,2022-11-05,PMT,Payment,151.94,Manual - Phone,
TXN997231,ADJ897231,SL102351,BOR201327,2026-07-28,2026-07-28,ADJ,Adjustment,-40.61,,
TXN973143,PMT573143,SL101758,BOR200887,2022-11-26,2022-11-27,PMT,Payment,75.34,ACH Auto-Debit,
TXN957216,PMT557216,SL101365,BOR200651,2022-12-08,2022-12-10,PMT,Payment,25.0,ACH Auto-Debit,
TXN962219,PMT562219,SL101484,BOR201851,2025-08-13,2025-08-15,PMT,Payment,114.89,ACH Auto-Debit,
TXN983189,PMT583189,SL102007,BOR201646,2024-07-18,2024-07-18,PMT,Payment,105.31,ACH Auto-Debit,
TXN911359,PMT511359,SL100278,BOR202023,2022-07-24,2022-07-24,PMT,Payment,80.45,Manual - Phone,
TXN963969,PMT563969,SL101525,BOR200339,2023-10-21,2023-10-23,PMT,Payment,143.16,Manual - Web,
TXN971767,PMT571767,SL101720,BOR200058,2025-06-23,2025-06-23,PMT,Payment,171.67,Manual - Phone,
TXN955992,PMT555992,SL101337,BOR200948,2022-07-21,2022-07-22,PMT,Payment,239.18,Manual - Web,
TXN940777,PMT540777,SL100983,BOR200159,2023-06-11,2023-06-11,PMT,Payment,55.43,ACH Auto-Debit,
TXN991097,PMT591097,SL102205,BOR201228,2025-10-28,2025-10-29,PMT,Payment,124.77,Manual - Web,
TXN993442,PMT593442,SL102262,BOR200207,2023-06-10,2023-06-10,PMT,Payment,170.76,ACH Auto-Debit,
TXN943972,PMT543972,SL101057,BOR200137,2021-05-24,2021-05-26,PMT,Payment,70.17,Check,
TXN933784,PMT533784,SL100813,BOR200879,2024-06-19,2024-06-21,PMT,Payment,89.98,Manual - Web,
TXN971817,PMT571817,SL101721,BOR201888,2023-12-14,2023-12-14,PMT,Payment,132.96,ACH Auto-Debit,
TXN976178,FEE776178,SL101830,BOR201965,2025-11-25,2025-11-25,FEE,Fee,25.48,,
TXN944878,PMT544878,SL101077,BOR202236,2022-11-04,2022-11-06,PMT,Payment,193.28,Payroll Deduct,
TXN901836,PMT501836,SL100044,BOR200074,2025-08-08,2025-08-10,PMT,Payment,90.76,ACH Auto-Debit,
TXN936323,PMT536323,SL100872,BOR200078,2025-03-27,2025-03-29,PMT,Payment,342.15,Manual - Web,
TXN918403,PMT518403,SL100457,BOR200120,2021-11-26,2021-11-28,PMT,Payment,142.58,Manual - Web,
TXN929532,PMT529532,SL100718,BOR200095,2026-05-20,2026-05-22,PMT,Payment,25.0,ACH Auto-Debit,
TXN945350,PMT545350,SL101086,BOR200303,2021-11-08,2021-11-08,PMT,Payment,185.95,Manual - Web,
TXN994056,PMT594056,SL102273,BOR201837,2021-11-28,2021-11-29,PMT,Payment,84.37,Manual - Web,
TXN968654,PMT568654,SL101644,BOR202287,2022-12-23,2022-12-23,PMT,Payment,25.0,ACH Auto-Debit,
TXN976280,PMT576280,SL101833,BOR200082,2021-11-15,2021-11-15,PMT,Payment,132.82,ACH Auto-Debit,
TXN950794,PMT550794,SL101221,BOR200526,2022-07-22,2022-07-22,PMT,Payment,287.43,ACH Auto-Debit,
TXN902132,PMT502132,SL100051,BOR202270,2023-09-23,2023-09-25,PMT,Payment,77.07,ACH Auto-Debit,
TXN927928,PMT527928,SL100680,BOR200373,2024-04-14,2024-04-16,PMT,Payment,52.9,ACH Auto-Debit,
TXN993792,PMT593792,SL102268,BOR201894,2024-06-30,2024-07-02,PMT,Payment,79.7,Manual - Web,
TXN905744,PMT505744,SL100137,BOR202205,2023-04-29,2023-04-30,PMT,Payment,127.48,ACH Auto-Debit,
TXN949710,PMT549710,SL101197,BOR201802,2025-07-21,2025-07-23,PMT,Payment,176.45,ACH Auto-Debit,
TXN954719,PMT554719,SL101311,BOR202041,2025-02-13,2025-02-14,PMT,Payment,212.98,Manual - Web,
TXN951926,PMT551926,SL101243,BOR202223,2026-05-07,2026-05-08,PMT,Payment,88.59,ACH Auto-Debit,
TXN929577,PMT529577,SL100719,BOR200955,2024-04-06,2024-04-06,PMT,Payment,316.06,ACH Auto-Debit,
TXN933520,PMT533520,SL100806,BOR200872,2021-03-27,2021-03-28,PMT,Payment,47.01,ACH Auto-Debit,
TXN992413,PMT592413,SL102238,BOR200891,2024-03-07,2024-03-09,PMT,Payment,251.2,ACH Auto-Debit,
TXN906413,PMT506413,SL100151,BOR201303,2024-09-08,2024-09-08,pmt,Payment,443.34,Manual - Phone,
TXN909723,PMT509723,SL100233,BOR201749,2024-06-10,2024-06-11,PMT,Payment,253.03,Manual - Phone,
TXN914744,PMT514744,SL100364,BOR201619,2022-02-24,2022-02-24,PMT,Payment,25.0,Manual - Web,
