loan_id,borrower_id,month_end_date,repayment_type,current_balance,delinquency_bucket,dpd,payment_amount,loan_status,state,original_balance,origination_date
SL101421,BOR201131,2022-12-01,PI,12447.83,30-59 DPD,45.0,0.0,Active,MN,16437.99,2019-11-10
SL101772,BOR201091,2024-04-01,PI,4536.06,Current,0.0,101.68,Active,MI,8215.07,2018-06-07
SL101870,BOR201876,2026-06-01,FP,24803.78,Current,0.0,25.0,Active,NC,25278.78,2024-11-02
SL102246,BOR201086,2022-10-01,FD,11162.96,Current,0.0,0.0,Active,OR,10317.32,2019-12-09
SL102438,BOR202073,2024-06-01,PI,7457.51,Current,0.0,84.27,Active,NJ,7740.55,2019-09-24
SL101151,BOR201395,2022-06-01,PI,11074.28,Current,0.0,305.47,Active,VA,14104.33,2020-07-21
SL101327,BOR200073,2025-11-01,PI,7108.01,Current,0.0,97.39,Active,SC,12613.11,2019-02-10
SL101606,BOR200133,2022-09-01,PI,8391.46,Current,0.0,235.78,Active,CO,10985.04,2021-10-27
SL100834,BOR200578,2023-06-01,PI,9482.29,Current,0.0,110.88,Active,VA,9198.87,2020-07-13
SL102155,BOR200039,2023-09-01,IO,9009.27,Current,0.0,82.15,Active,TX,11088.68,2021-04-19
SL100499,BOR201263,2023-07-01,IO,6070.97,Current,0.0,55.78,Active,OR,6405.65,2023-01-14
SL101776,BOR201159,2023-01-01,FP,9407.44,Current,0.0,25.0,Active,UT,10007.44,2020-12-06
SL101189,BOR200950,2022-12-01,PI,9051.83,Current,0.0,148.47,Active,OK,9834.35,2020-12-04
SL100459,BOR201510,2025-12-01,PI,8065.16,Current,0.0,126.69, Active  ,MI,11127.05,2021-12-07
SL102461,BOR200396,2025-12-01,FD,20275.91,Current,0.0,0.0,Active,AZ,14813.73,2023-01-20
SL101150,BOR200388,2024-09-01,FD,19678.01,Current,0.0,0.0,Active,OR,15784.37,2022-08-15
SL101663,BOR200514,2022-01-01,FP,5084.33,Current,0.0,25.0,Active,MD,5159.33,2021-10-15
SL100761,BOR202053,05/01/2024,FD,10879.03,Current,0.0,0.0,Active,MN,10563.26,2023-10-17
SL101632,BOR201450,2022-10-01,FD,18275.71,Current,0.0,0.0,Active,OK,15771.69,2019-03-13
SL100009,BOR202094,2025-07-01,FP,11272.26,Current,0.0,25.0,Active,IL,11872.26,2023-07-30
SL100796,BOR200756,2024-11-01,PI,12232.68,180+ DPD,195.0,0.0,Active,WI,11698.48,2018-08-31
SL101104,BOR200925,2026-05-01,PI,18701.56,Current,0.0,448.53,Active,TN,26900.37,2023-12-01
SL102464,BOR200418,2023-08-01,FP,14124.47,Current,0.0,25.0,Active,NY,14274.47,2023-02-21
SL102419,BOR200229,2024-06-01,FD,12531.38,Current,0.0,0.0,Active,WI,10315.55,2021-07-29
SL101807,BOR201820,2024-10-01,PI,3057.4,Current,0.0,61.3,Active,MI,4065.85,2022-05-02
SL100785,BOR201744,2024-12-01,PI,14760.82,Charged-Off,,2978.67,Charged Off,WI,15658.96,2021-01-11
SL102166,BOR200378,2024-04-01,PI,11071.44,Current,0.0,127.87,Active,VA,14396.06,2022-02-18
SL102226,BOR202080,2023-01-01,PI,6274.4,Current,0.0,67.71,Active,MO,7080.96,2021-08-01
SL100329,BOR201253,2026-04-01,FP,7405.06,current,0.0,25.0,Active,KY,7880.06,2024-09-16
SL100159,BOR201891,2024-09-01,IO,9336.2,Current,0.0,67.79,Active,,9742.94,2024-03-02
SL101045,BOR200724,2024-08-01,PI,11949.12,Current,0.0,282.55,Active,MD,18855.08,2018-10-18
SL102469,BOR201393,2026-06-01,PI,4366.26,Current,0.0,94.67,Active,OR,9917.94,2021-06-16
SL101937,BOR201446,2022-05-01,PI,8124.36,Current,0.0,135.3,Active,GA,10077.23,2019-09-22
SL100689,BOR201440,2023-12-01,PI,26372.03,Current,0.0,357.12,Active,MO,31353.01,2022-01-01
SL101171,BOR202058,2021-04-01,PI,15038.68,Current,0.0,306.57,Active,MA,15563.88,2019-09-03
SL100412,BOR201862,2025-06-01,PI,7616.4,Charged-Off,,0.0,Charged Off,SC,7607.39,2023-04-26
SL102236,BOR202220,2025-05-01,PI,7160.88,Current,0.0,139.95,Active,MO,8709.43,2023-05-29
SL100861,BOR200838,2021-05-01,PI,17021.73,Current,0.0,407.18,Active,MN,18650.45,2019-07-04
SL101784,BOR201582,2023-05-01,FP,8081.23,Current,0.0,25.0,Active,MA,8656.23,2021-06-12
SL100126,BOR201816,2022-05-01,PI,5012.58,Current,0.0,143.72,Active,VA,7312.1,2019-07-08
SL101611,BOR200377,2026-08-01,FD,17931.7,Current,0.0,0.0,Active,VA,16215.58,2024-09-27
SL101281,BOR201434,2022-09-01,PI,8020.55,Current,0.0,144.47,Active,MN,9045.01,2018-08-24
SL100226,BOR201057,2024-10-01,PI,11025.99,60-89 DPD,75.0,0.0,Active,AL,10131.52,2022-08-21
SL100879,BOR200317,2025-01-01,PI,10164.57,Current,0.0,149.37,Active,WA,11060.79,2024-07-02
SL100332,BOR201865,2026-05-01,FD,7757.75,Current,0.0,0.0,Active,SC,6655.58,2024-02-09
SL101356,BOR202132,2026-02-01,PI,9284.76,Current,0.0,110.16,Active,AZ,10228.03,2023-02-17
SL101087,BOR201373,2026-06-01,PI,6600.69,Current,0.0,157.52,Active,CO,10853.73,2024-03-01
SL101782,BOR201741,2023-10-01,PI,6088.98,Current,0.0,100.53,Active,NJ,9001.84,2020-05-31
SL100403,BOR201338,2025-04-01,PI,7618.9,Current,0.0,82.97,Active,AL,10688.54,2020-07-05
SL100889,BOR202278,2022-09-01,PI,7740.78,Current,0.0,133.22,Active,KY,10200.13,2019-08-15
SL102154,BOR201845,2023-08-01,PI,7277.65,Current,0.0,111.6,Active,CA,10737.25,2020-03-20
SL101214,BOR200288,2022-03-01,PI,8542.82,Current,0.0,150.66,Active,MD,10149.42,2020-02-03
SL100596,BOR201716,2023-07-01,PI,4476.09,Current,0.0,109.15,Active,TN,6709.64,2019-02-16
SL100284,BOR200104,2024-03-01,PI,13134.61,Current,0.0,139.56,Active,OK,15287.85,2022-10-27
SL100326,BOR201030,2024-02-01,PI,2464.64,Current,0.0,36.21,Active,CO,3369.15,2020-05-21
SL101728,BOR202022,2025-11-01,PI,13332.07,Current,0.0,170.59,Active,WA,10086.58,2020-04-30
SL102250,BOR200674,2026-01-01,FD,14489.61,Current,0.0,0.0,Active,TN,11240.06,2023-04-07
SL102164,BOR201133,2026-04-01,PI,4750.74,Current,0.0,101.1,Active,CT,6597.64,2023-01-27
SL102398,BOR200700,2022-01-01,PI,8455.99,Current,0.0,101.19,Active,KY,9531.32,2018-08-31
SL100214,BOR202018,2024-01-01,PI,7854.55,Current,0.0,120.75,Active,OK,11065.25,2018-11-15
SL101371,BOR201956,2025-08-01,PI,5797.64,Current,0.0,79.0,Active,CA,5523.05,2019-07-08
SL101468,BOR200843,2025-08-01,PI,5385.55,Current,0.0,154.77,Active,,7591.92,2021-09-26
SL101159,BOR200483,2022-09-01,IO,11970.74,Current,0.0,119.85,Active,MO,14367.74,2020-10-28
SL101322,BOR200588,2025-04-01,PI,10513.19,Current,0.0,219.81,Active,MA,18323.89,2021-01-24
SL100068,BOR201868,2024-09-01,PI,11851.61,Current,0.0,261.12,Active,CO,19685.21,2022-03-19
SL101552,BOR202048,2022-01-01,FD,9562.03,Current,0.0,0.0,Active,GA,9105.69,2019-04-26
SL102162,BOR200014,2023-02-01,PI,8813.94,Current,0.0,121.85,Active,AZ,11860.19,2019-06-12
SL100619,BOR200703,2022-10-01,PI,14715.76,Current,0.0,133.07,Active,UT,17313.76,2019-12-05
SL100899,BOR200021,2026-07-01,PI,5494.08,Current,0.0,112.6,Active,FL,8746.29,2021-06-03
SL100781,BOR202099,2025-08-01,PI,17124.13,Current,0.0,156.86,Active,GA,20504.19,2022-07-13
SL101260,BOR200605,2026-06-01,PI,1878.92,Current,0.0,156.57,Active,WA,7256.1,2023-04-20
SL101956,BOR200489,2025-10-01,PI,12294.92,Current,0.0,252.69,Active,WA,19355.87,2021-09-15
SL100062,BOR201025,2025-06-01,PI,3955.89,Current,0.0,126.89,Active,MI,9268.49,2019-07-28
SL102019,BOR200649,2026-02-01,PI,9654.45,Current,0.0,88.67,Active,KY,10217.18,2023-02-12
SL101138,BOR201135,2025-09-01,IO,11607.78,Current,0.0,98.69,Active,AL,14081.95,2023-06-17
SL100598,BOR200048,2023-07-01,PI,26705.48,Current,0.0,262.71,Active,AZ,33396.95,2019-11-29
SL100591,BOR200548,2023-11-01,PI,14732.58,Current,0.0,128.12,Active,CO,15629.42,2023-04-08
SL102063,BOR201244,2023-10-01,FP,8297.29,Current,0.0,25.0,Active,NY,8797.29,2022-02-01
SL100793,BOR201951,2025-01-01,PI,13222.33,Current,0.0,145.77,Active,WA,13986.95,2023-01-02
SL101897,BOR201838,2025-07-01,PI,15470.51,Current,0.0,365.57,Active,AL,26680.89,2022-08-27
SL101453,BOR201053,2025-05-01,PI,2415.42,current,0.0,90.0,Active,OK,6716.87,2020-07-14
SL100622,BOR202131,2025-06-01,PI,3071.62,Current,0.0,69.43,Active,UT,6399.14,2020-10-06
SL100715,BOR200423,2021-09-01,FD,21003.78,Current,0.0,0.0,Active,NJ,20068.78,2019-12-14
SL101085,BOR200134,2024-05-01,IO,8202.79,Current,0.0,40.7,Active,SC,8406.29,2023-12-12
SL100469,BOR201032,2026-09-01,PI,5123.19,Current,0.0,97.19,Active,MO,8366.94,2021-05-04
SL101411,BOR200597,2024-02-01,PI,23033.99,Current,0.0,290.67,Active,,31704.64,2021-02-02
SL101689,BOR200917,2023-02-01,FP,7398.52,Current,0.0,25.0,Active,VA,7448.52,2022-12-25
SL101272,BOR201501,2026-06-01,,7146.13,Current,0.0,124.11,Active,CA,13042.04,2021-01-11
SL102440,BOR200413,2023-09-01,PI,13185.93,Current,0.0,219.98,Active,KY,15333.29,2022-06-24
SL101496,BOR202029,2026-02-01,PI,14912.56,Current,0.0,214.05,Active,LA,16089.28,2024-06-28
SL100727,BOR201399,2024-04-01,PI,6798.31,Current,0.0,135.68,Active,NY,8074.77,2018-06-24
SL102398,BOR200700,2021-04-01,PI,9227.75,Current,0.0,101.19,Active,KY,9531.32,2018-08-31
SL102179,BOR200472,2023-05-01,FD,25374.62,Current,0.0,0.0,Active,PA,22650.75,2021-07-22
SL100155,BOR201556,2024-01-01,PI,2975.92,Current,0.0,148.88,Active,KY,7244.82,2018-06-14
SL102222,BOR200278,2022-03-01,FP,12028.6,Current,0.0,25.0,Active,MO,12179.93,2020-04-21
SL101275,BOR201203,2022-02-01,FD,8454.78,Current,0.0,0.0,Active,OK,7742.61,2018-12-20
SL100673,BOR201437,2024-09-01,PI,11045.25,Current,0.0,188.42,Active,NJ,19043.48,2019-01-01
SL101416,BOR201864,2026-04-01,FP,8309.19,150-179 DPD,165.0,0.0,Active,AL,7899.38,2025-01-16
SL101440,BOR201485,2025-03-01,IO,16271.35,Current,0.0,191.02,Active,NC,20744.5,2022-10-11
SL102279,BOR201389,2025-11-01,FD,16180.69,Current,0.0,0.0,Active,PA,14389.45,2024-03-04
SL101700,BOR201474,2021-02-01,FP,6971.24,1-29 DPD,15.0,0.0,Active,MD,6937.77,2020-06-14
SL102108,BOR201023,2025-05-01,PI,2713.86,Current,0.0,55.38,Active,OK,5033.88,2019-07-04
SL102104,BOR201637,2023-11-01,PI,10243.2,Current,0.0,149.68,Active,CA,13427.82,2019-10-26
SL102243,BOR201732,2025-01-01,PI,6668.54,1-29 DPD,15.0,0.0,Active,AZ,11331.29,2019-12-14
SL101453,BOR201053,2023-05-01,PI,4323.77,1-29 DPD,15.0,0.0,Active,OK,6716.87,2020-07-14
SL101260,BOR200605,2024-03-01,PI,5533.83,Current,0.0,156.57,Active,WA,7256.1,2023-04-20
SL102074,BOR201336,2022-05-01,FP,16755.86,30-59 DPD,45.0,0.0,Active,PA,16940.93,2020-07-15
SL102263,BOR200401,2025-04-01,PI,5063.54,Current,0.0,138.82,Active,KY,11531.74,2019-03-04
SL101117,BOR202140,2024-08-01,PI,10502.71,Current,0.0,194.16,Active,SC,16917.27,2018-08-22
SL102443,BOR201185,2024-08-01,PI,3338.14,Current,0.0,66.25,Active,NC,5726.09,2018-10-03
SL100883,BOR200134,2024-02-01,PI,16683.47,Current,0.0,314.26,Active,UT,16154.27,2020-11-02
SL101082,BOR200480,2022-01-01,PI,5685.41,Current,0.0,85.71,Active,TN,6229.9,2019-03-15
SL102418,BOR200938,2026-01-01,PI,4965.74,Current,0.0,159.87,Active,WI,13444.51,2019-07-15
SL100091,BOR202125,2025-04-01,PI,6466.2,Current,0.0,77.32,Active,MI,8361.01,2020-08-10
